Address,Parcel ID,Contractor Name,Price,Projected Demolished By Date,Commercial Building,Council_District,Latitude,Longitude,Location,Neighborhood
9109 Meyers,22020676.,Den-Man Contractors,13639.00,10/17/2018,No,7,42.361235,-83.168151,"location
(42.361235, -83.168151)",Barton-McFarland
8931 Meyers,22020681.,Den-Man Contractors,30420.00,10/17/2018,No,7,42.360644,-83.168132,"location
(42.360644, -83.168132)",Barton-McFarland
8852 Appoline,22020781.,Den-Man Contractors,14240.00,10/17/2018,No,7,42.359583,-83.168626,"location
(42.359583, -83.168626)",Barton-McFarland
15263 Rochelle,21015416.,DMC Consultants,14634.00,09/04/2018,No,4,42.423426,-82.963771,"location
(42.423426, -82.963771)",Mapleridge
8245 Braile,22106028.,Salenbien Trucking & Excavating Inc.,18352.00,10/17/2018,No,7,42.352675,-83.243424,"location
(42.352675, -83.243424)",Warrendale
9246 Pierson,22106254.,Rickman Enterprise Group,15404.40,09/26/2018,No,7,42.361987,-83.244209,"location
(42.361987, -83.244209)",Franklin Park
19165 Hoover,17013919.,Rickman Enterprise Group,16321.10,09/26/2018,No,3,42.435433,-83.005058,"location
(42.435433, -83.005058)",Pulaski
19410 Albion,17014278.,Rickman Enterprise Group,19998.10,09/26/2018,No,3,42.438057,-83.005601,"location
(42.438057, -83.005601)",Pulaski
19610 Albion,17014285.,Rickman Enterprise Group,16378.10,09/26/2018,No,3,42.438888,-83.005621,"location
(42.438888, -83.005621)",Pulaski
17861 Runyon,17014807.,Rickman Enterprise Group,15069.10,09/26/2018,No,3,42.426226,-83.007092,"location
(42.426226, -83.007092)",Von Steuben
19330 Teppert,17014998.,Rickman Enterprise Group,36628.10,09/26/2018,No,3,42.436921,-83.007636,"location
(42.436921, -83.007636)",Pulaski
19213 Algonac,17015742-3,Den-Man Contractors,21590.00,10/17/2018,No,3,42.435921,-83.010479,"location
(42.435921, -83.010479)",Pulaski
19179 Algonac,17015748.,Rickman Enterprise Group,18373.10,09/26/2018,No,3,42.435393,-83.010456,"location
(42.435393, -83.010456)",Pulaski
9946 Auburn,22092348.,Salenbien Trucking & Excavating Inc.,15106.50,10/17/2018,No,7,42.367998,-83.233345,"location
(42.367998, -83.233345)",Franklin Park
9921 Auburn,22092786.002,Salenbien Trucking & Excavating Inc.,16789.00,10/17/2018,No,7,42.367662,-83.23405,"location
(42.367662, -83.23405)",Franklin Park
5950 Lakepointe,21064699.,Salenbien Trucking & Excavating Inc.,11526.50,08/06/2018,No,4,42.405528,-82.955938,"location
(42.405528, -82.955938)",Morningside
9140 Lakepointe,21064712.,Salenbien Trucking & Excavating Inc.,12182.30,08/06/2018,No,4,42.408108,-82.957853,"location
(42.408108, -82.957853)",Outer Drive-Hayes
9410 Lakepointe,21064719.,Salenbien Trucking & Excavating Inc.,14309.30,08/06/2018,No,4,42.408972,-82.957896,"location
(42.408972, -82.957896)",Outer Drive-Hayes
9416 Lakepointe,21064720.,Salenbien Trucking & Excavating Inc.,12824.30,08/06/2018,No,4,42.409068,-82.9579,"location
(42.409068, -82.9579)",Outer Drive-Hayes
11630 Lakepointe,21064864.,Rickman Enterprise Group,14610.55,09/26/2018,No,4,42.425588,-82.947218,"location
(42.425588, -82.947218)",Moross-Morang
9147 Lakepointe,21065047.,Salenbien Trucking & Excavating Inc.,22193.80,08/06/2018,No,4,42.408114,-82.958563,"location
(42.408114, -82.958563)",Outer Drive-Hayes
9410 Greensboro,21065256.,Salenbien Trucking & Excavating Inc.,11672.30,08/06/2018,No,4,42.409004,-82.956648,"location
(42.409004, -82.956648)",Outer Drive-Hayes
10010 Greensboro,21065276.,Den-Man Contractors,13685.00,10/17/2018,No,4,42.41136,-82.955818,"location
(42.41136, -82.955818)",Outer Drive-Hayes
9509 Greensboro,21065375.,Salenbien Trucking & Excavating Inc.,21693.30,08/06/2018,No,4,42.410347,-82.957416,"location
(42.410347, -82.957416)",Outer Drive-Hayes
9411 Greensboro,21065389.,Salenbien Trucking & Excavating Inc.,10665.80,08/06/2018,No,4,42.409003,-82.957353,"location
(42.409003, -82.957353)",Outer Drive-Hayes
9401 Greensboro,21065390.,Salenbien Trucking & Excavating Inc.,20437.80,08/06/2018,No,4,42.408903,-82.957349,"location
(42.408903, -82.957349)",Outer Drive-Hayes
9159 Greensboro,21065391.,Salenbien Trucking & Excavating Inc.,24941.80,08/06/2018,No,4,42.408613,-82.957335,"location
(42.408613, -82.957335)",Outer Drive-Hayes
8089 Auburn,22092910.,Salenbien Trucking & Excavating Inc.,13680.50,10/17/2018,No,7,42.35172,-83.233632,"location
(42.35172, -83.233632)",Warrendale
8047 Auburn,22092915.,Rickman Enterprise Group,24880.40,09/26/2018,No,7,42.351151,-83.23361,"location
(42.351151, -83.23361)",Warrendale
18445 Wormer,22123203.,Den-Man Contractors,11840.00,10/17/2018,No,1,42.424135,-83.28043,"location
(42.424135, -83.28043)",The Eye
9400 Beaconsfield,21065759.,Salenbien Trucking & Excavating Inc.,11563.80,08/06/2018,No,4,42.408953,-82.955377,"location
(42.408953, -82.955377)",Outer Drive-Hayes
9920 Beaconsfield,21065775.,Salenbien Trucking & Excavating Inc.,13493.80,08/06/2018,No,4,42.411056,-82.954799,"location
(42.411056, -82.954799)",Outer Drive-Hayes
10712 Beaconsfield,21065835-6,DMC Consultants,24082.00,09/16/2018,No,4,42.418343,-82.949982,"location
(42.418343, -82.949982)",Yorkshire Woods
10224 Nottingham,21066570.,Salenbien Trucking & Excavating Inc.,9984.00,07/27/2018,No,4,42.414546,-82.951019,"location
(42.414546, -82.951019)",Outer Drive-Hayes
10903 Nottingham,21066730.,DMC Consultants,16516.00,09/16/2018,No,4,42.421015,-82.947193,"location
(42.421015, -82.947193)",Yorkshire Woods
10061 Nottingham,21066804.,Salenbien Trucking & Excavating Inc.,22389.00,08/06/2018,No,4,42.412936,-82.952887,"location
(42.412936, -82.952887)",Outer Drive-Hayes
3983 Nottingham,21066977.,Salenbien Trucking & Excavating Inc.,15524.25,08/06/2018,No,4,42.391929,-82.944426,"location
(42.391929, -82.944426)",Morningside
9900 Somerset,21067190.,Salenbien Trucking & Excavating Inc.,17778.00,08/06/2018,No,4,42.41164,-82.951917,"location
(42.41164, -82.951917)",Outer Drive-Hayes
8603 Coyle,22045791.,Den-Man Contractors,23859.00,10/17/2018,No,7,42.357342,-83.192984,"location
(42.357342, -83.192984)",Fiskhorn
8833 Sussex,22047057.,Den-Man Contractors,19224.00,10/17/2018,No,7,42.358787,-83.19412,"location
(42.358787, -83.19412)",We Care Community
9918 Somerset,21067192.,Salenbien Trucking & Excavating Inc.,23143.00,08/06/2018,No,4,42.411811,-82.951787,"location
(42.411811, -82.951787)",Outer Drive-Hayes
9966 Somerset,21067199.,Salenbien Trucking & Excavating Inc.,14683.00,08/06/2018,No,4,42.412398,-82.951344,"location
(42.412398, -82.951344)",Outer Drive-Hayes
10621 Somerset,21067361.,DMC Consultants,16917.00,09/16/2018,No,4,42.419229,-82.947461,"location
(42.419229, -82.947461)",Yorkshire Woods
9955 Somerset,21067421.,Salenbien Trucking & Excavating Inc.,15768.00,08/06/2018,No,4,42.412462,-82.952036,"location
(42.412462, -82.952036)",Outer Drive-Hayes
9936 Prest,22048483.,Able Demolition,17021.34,08/23/2018,No,7,42.368492,-83.195982,"location
(42.368492, -83.195982)",Plymouth-Hubbell
11624 Winthrop,22051670.,Salenbien Trucking & Excavating Inc.,18590.50,10/17/2018,No,7,42.373053,-83.198411,"location
(42.373053, -83.198411)",Plymouth-I96
9533 Mckinney,21068297.,Salenbien Trucking & Excavating Inc.,12355.00,08/06/2018,No,4,42.41214,-82.949664,"location
(42.41214, -82.949664)",Outer Drive-Hayes
9309 Mckinney,21068312.,Salenbien Trucking & Excavating Inc.,16850.25,08/06/2018,No,4,42.410747,-82.95072,"location
(42.410747, -82.95072)",Outer Drive-Hayes
8505 Strathmoor,22038644.,Den-Man Contractors,12970.00,10/17/2018,No,7,42.356157,-83.186228,"location
(42.356157, -83.186228)",Joy-Schaefer
15430 Park Grove,21017701.,DMC Consultants,16756.00,09/04/2018,No,4,42.42987,-82.962225,"location
(42.42987, -82.962225)",Mapleridge
15493 Park Grove,21017986.,DMC Consultants,20559.00,09/04/2018,No,4,42.430374,-82.961116,"location
(42.430374, -82.961116)",Mapleridge
15426 Glenwood,21018024.,DMC Consultants,15585.00,09/04/2018,No,4,42.430692,-82.962347,"location
(42.430692, -82.962347)",Mapleridge
15410 Glenwood,21018026.,DMC Consultants,12255.00,09/04/2018,No,4,42.430688,-82.962625,"location
(42.430688, -82.962625)",Mapleridge
15403 Linnhurst,21018627.,DMC Consultants,15569.00,09/04/2018,No,4,42.431853,-82.962771,"location
(42.431853, -82.962771)",Mapleridge
15284 Saratoga,21018991.,DMC Consultants,16211.00,09/04/2018,No,4,42.432938,-82.963605,"location
(42.432938, -82.963605)",Mapleridge
15316 Promenade,21008711.,Salenbien Trucking & Excavating Inc.,11738.80,08/06/2018,No,4,42.412699,-82.963156,"location
(42.412699, -82.963156)",Outer Drive-Hayes
15302 Promenade,21008713.,Salenbien Trucking & Excavating Inc.,11943.80,08/06/2018,No,4,42.412795,-82.963379,"location
(42.412795, -82.963379)",Outer Drive-Hayes
15261 Promenade,21009181.,Salenbien Trucking & Excavating Inc.,24433.80,08/06/2018,No,4,42.413384,-82.96351,"location
(42.413384, -82.96351)",Outer Drive-Hayes
13347 E State Fair,21024344-6,Rickman Enterprise Group,13326.55,09/26/2018,No,3,42.442371,-82.988103,"location
(42.442371, -82.988103)",Conner Creek
16267 Fairmount Dr,21025477.,Rickman Enterprise Group,28728.55,09/26/2018,No,3,42.445053,-82.95225,"location
(42.445053, -82.95225)",Regent Park
8841 Patton,22104819.,Rickman Enterprise Group,15373.40,09/26/2018,No,7,42.358136,-83.242391,"location
(42.358136, -83.242391)",Franklin Park
11410 Portlance,21020128.,Den-Man Contractors,14090.00,10/17/2018,No,4,42.41892,-83.006071,"location
(42.41892, -83.006071)",LaSalle College Park
12493 Whitehill,21058255.001,DMC Consultants,16612.00,09/04/2018,No,4,42.431231,-82.949283,"location
(42.431231, -82.949283)",Moross-Morang
12425 Lansdowne,21058458.,DMC Consultants,16299.00,09/04/2018,No,4,42.431173,-82.947884,"location
(42.431173, -82.947884)",Moross-Morang
12389 Lansdowne,21058462.001,DMC Consultants,17049.00,09/04/2018,No,4,42.430771,-82.948187,"location
(42.430771, -82.948187)",Moross-Morang
10709 Stratmann,21058589.,Salenbien Trucking & Excavating Inc.,9425.80,08/06/2018,No,4,42.41602,-82.958567,"location
(42.41602, -82.958567)",Outer Drive-Hayes
4009 Haverhill,21070303.,DMC Consultants,19432.00,09/16/2018,No,4,42.394381,-82.938716,"location
(42.394381, -82.938716)",Morningside
8421 Burt Rd,22108223.,Salenbien Trucking & Excavating Inc.,22247.00,10/17/2018,No,7,42.354088,-83.245878,"location
(42.354088, -83.245878)",Warrendale
8316 Trinity,22108279.,Salenbien Trucking & Excavating Inc.,22442.00,10/17/2018,No,7,42.353604,-83.246367,"location
(42.353604, -83.246367)",Warrendale
9731 Philip,21060418.,Salenbien Trucking & Excavating Inc.,17142.80,08/06/2018,No,4,42.410917,-82.963828,"location
(42.410917, -82.963828)",Outer Drive-Hayes
9230 Devonshire,21070520.,Salenbien Trucking & Excavating Inc.,11405.50,08/06/2018,No,4,42.411621,-82.94919,"location
(42.411621, -82.94919)",Outer Drive-Hayes
9231 Devonshire,21070524.,Salenbien Trucking & Excavating Inc.,32533.75,08/06/2018,No,4,42.411247,-82.949624,"location
(42.411247, -82.949624)",Outer Drive-Hayes
5901 Devonshire,21070546.,Rickman Enterprise Group,36984.56,09/26/2018,No,4,42.408217,-82.946584,"location
(42.408217, -82.946584)",Morningside
3672 Bedford,21070722.,DMC Consultants,21833.00,09/16/2018,No,4,42.393281,-82.934892,"location
(42.393281, -82.934892)",Morningside
5051 Three Mile Dr,21071273.,Rickman Enterprise Group,19526.56,09/26/2018,No,4,42.402998,-82.940759,"location
(42.402998, -82.940759)",Morningside
5911 Manistique,21061433.,Salenbien Trucking & Excavating Inc.,28495.00,08/06/2018,No,4,42.403203,-82.96053,"location
(42.403203, -82.96053)",Chandler Park-Chalmers
2926 Ashland,21062093.,Salenbien Trucking & Excavating Inc.,12768.00,08/06/2018,No,4,42.384747,-82.946833,"location
(42.384747, -82.946833)",Riverbend
2981 Alter,21063131.,Salenbien Trucking & Excavating Inc.,35200.00,08/06/2018,No,4,42.385552,-82.946875,"location
(42.385552, -82.946875)",Riverbend
11640 Wayburn,21063643.002,DMC Consultants,13039.00,09/16/2018,No,4,42.424362,-82.950858,"location
(42.424362, -82.950858)",Denby
11734 Wayburn,21063646.004L,DMC Consultants,13460.00,09/16/2018,No,4,42.425485,-82.949994,"location
(42.425485, -82.949994)",Denby
11737 Wayburn,21063709.,DMC Consultants,17968.00,09/16/2018,No,4,42.425728,-82.950622,"location
(42.425728, -82.950622)",Denby
11627 Wayburn,21063713.011,DMC Consultants,14527.00,09/16/2018,No,4,42.424426,-82.951622,"location
(42.424426, -82.951622)",Denby
10581 Wayburn,21063776.,Salenbien Trucking & Excavating Inc.,17833.80,08/06/2018,No,4,42.415285,-82.957831,"location
(42.415285, -82.957831)",Outer Drive-Hayes
9703 Wayburn,21063804.,Salenbien Trucking & Excavating Inc.,10392.80,08/06/2018,No,4,42.41064,-82.95999,"location
(42.41064, -82.95999)",Outer Drive-Hayes
9403 Marlowe,22041501.,Den-Man Contractors,15359.00,10/17/2018,No,7,42.364748,-83.188891,"location
(42.364748, -83.188891)",We Care Community
8933 Marlowe,22041514.,Den-Man Contractors,14550.00,10/17/2018,No,7,42.360271,-83.18871,"location
(42.360271, -83.18871)",We Care Community
14511 Lauder,22042454.,Able Demolition,25862.34,08/23/2018,No,1,42.39469,-83.190874,"location
(42.39469, -83.190874)",Hubbell-Lyndon
8832 Robson,22043426.,Den-Man Contractors,20860.00,10/17/2018,No,7,42.358854,-83.191286,"location
(42.358854, -83.191286)",We Care Community
12100 Plainview,22093826.,Able Demolition,16226.34,08/23/2018,No,7,42.375573,-83.234794,"location
(42.375573, -83.234794)",Weatherby
9924 Meyers,18018666.,Blue Star,27191.00,09/26/2018,No,7,42.369283,-83.167651,"location
(42.369283, -83.167651)",Barton-McFarland
14120 Lamphere,22116154.,Blue Star,24187.00,10/17/2018,No,1,42.388606,-83.261017,"location
(42.388606, -83.261017)",Eliza Howell
8849 Plainview,22094691.,Rickman Enterprise Group,15359.40,09/26/2018,No,7,42.358356,-83.235072,"location
(42.358356, -83.235072)",Franklin Park
7785 Plainview,22094759.,Rickman Enterprise Group,12446.40,09/26/2018,No,7,42.349409,-83.234713,"location
(42.349409, -83.234713)",Warrendale
17901 Redfern,22117085.,Den-Man Contractors,13270.00,10/17/2018,No,1,42.421261,-83.264465,"location
(42.421261, -83.264465)",Melvern Hill
14175 Dolphin,22115081-2,Blue Star,13840.00,10/17/2018,No,1,42.389358,-83.259285,"location
(42.389358, -83.259285)",Brightmoor
14107 Westwood,22089981.,Salenbien Trucking & Excavating Inc.,16929.62,07/27/2018,No,1,42.388974,-83.232439,"location
(42.388974, -83.232439)",Westwood Park
3504 Electric,20014070-1,Den-Man Contractors,22030.00,10/17/2018,No,6,42.262284,-83.164739,"location
(42.262284, -83.164739)",Boynton
9015 Pierson,22107210.,Rickman Enterprise Group,14410.40,09/26/2018,No,7,42.359422,-83.244834,"location
(42.359422, -83.244834)",Franklin Park
8675 Pierson,22107228.,Rickman Enterprise Group,21185.40,09/26/2018,No,7,42.356664,-83.244795,"location
(42.356664, -83.244795)",Warrendale
14611 Evanston,21005290.,Salenbien Trucking & Excavating Inc.,13447.80,08/06/2018,No,4,42.406249,-82.962968,"location
(42.406249, -82.962968)",Outer Drive-Hayes
15209 Evanston,21005321.,Salenbien Trucking & Excavating Inc.,21442.80,08/06/2018,No,4,42.40773,-82.957835,"location
(42.40773, -82.957835)",Outer Drive-Hayes
15327 Evanston,21005333.,Salenbien Trucking & Excavating Inc.,10794.80,08/06/2018,No,4,42.408206,-82.956193,"location
(42.408206, -82.956193)",Outer Drive-Hayes
8866 Ward,22024525.,Den-Man Contractors,14780.00,10/17/2018,No,7,42.359703,-83.172302,"location
(42.359703, -83.172302)",Barton-McFarland
16045 Maddelein,21021607.,DMC Consultants,15769.00,09/04/2018,No,3,42.436757,-82.954847,"location
(42.436757, -82.954847)",Regent Park
15036 Lappin,21021696.,Rickman Enterprise Group,14333.55,09/26/2018,No,3,42.436893,-82.966004,"location
(42.436893, -82.966004)",Regent Park
15290 Coram,21022049.,DMC Consultants,15901.00,09/04/2018,No,3,42.437899,-82.963675,"location
(42.437899, -82.963675)",Regent Park
16011 Coram,21022183.,Rickman Enterprise Group,14156.55,09/26/2018,No,3,42.43856,-82.955488,"location
(42.43856, -82.955488)",Regent Park
16236 Novara,21022333.,DMC Consultants,12694.00,09/04/2018,No,3,42.438985,-82.952651,"location
(42.438985, -82.952651)",Regent Park
15612 Novara,21022382.,DMC Consultants,16345.00,09/04/2018,No,3,42.438859,-82.960433,"location
(42.438859, -82.960433)",Regent Park
16253 Novara,21022603.,DMC Consultants,12014.00,09/04/2018,No,3,42.439492,-82.952361,"location
(42.439492, -82.952361)",Regent Park
15810 Liberal,21022669.,DMC Consultants,14129.00,09/04/2018,No,3,42.439806,-82.958019,"location
(42.439806, -82.958019)",Regent Park
15235 Liberal,21022924.,DMC Consultants,12842.00,09/04/2018,No,3,42.44017,-82.964789,"location
(42.44017, -82.964789)",Regent Park
15619 Liberal,21022936.,DMC Consultants,14689.00,09/04/2018,No,3,42.440292,-82.960334,"location
(42.440292, -82.960334)",Regent Park
12758 Kelly Rd,21056880.,DMC Consultants,14017.00,09/04/2018,No,4,42.424438,-82.960314,"location
(42.424438, -82.960314)",Denby
18627 Kelly Rd,21057272.,Rickman Enterprise Group,18710.55,09/26/2018,No,4,42.431864,-82.955595,"location
(42.431864, -82.955595)",Mapleridge
12392 Whitehill,21058237.004,DMC Consultants,13243.00,09/04/2018,No,4,42.429777,-82.949586,"location
(42.429777, -82.949586)",Moross-Morang
12416 Whitehill,21058237.007,DMC Consultants,11984.00,09/04/2018,No,4,42.430078,-82.949357,"location
(42.430078, -82.949357)",Moross-Morang
12444 Whitehill,21058237.010,DMC Consultants,16975.00,09/04/2018,No,4,42.430379,-82.949127,"location
(42.430379, -82.949127)",Moross-Morang
9303 Ward,22025463.,Den-Man Contractors,14089.00,10/17/2018,No,7,42.363863,-83.173101,"location
(42.363863, -83.173101)",Barton-McFarland
9102 Cheyenne,22025579.,Den-Man Contractors,11972.00,10/17/2018,No,7,42.361051,-83.173529,"location
(42.361051, -83.173529)",Barton-McFarland
9289 Steel,22023158.,Den-Man Contractors,33031.00,10/17/2018,No,7,42.363652,-83.17068,"location
(42.363652, -83.17068)",Barton-McFarland
9283 Steel,22023159.,Den-Man Contractors,12990.00,10/17/2018,No,7,42.363579,-83.170677,"location
(42.363579, -83.170677)",Barton-McFarland
8900 Sorrento,22023291.,Den-Man Contractors,21700.00,10/17/2018,No,7,42.360207,-83.171109,"location
(42.360207, -83.171109)",Barton-McFarland
4200 Guilford,21075625.,DMC Consultants,14784.00,09/16/2018,No,4,42.401976,-82.923319,"location
(42.401976, -82.923319)",Cornerstone Village
6300 Guilford,21075718.,DMC Consultants,13380.00,09/16/2018,No,4,42.417162,-82.933328,"location
(42.417162, -82.933328)",Cornerstone Village
6000 Woodhall,21075950.,DMC Consultants,23037.00,09/16/2018,No,4,42.415455,-82.931013,"location
(42.415455, -82.931013)",Cornerstone Village
6344 Woodhall,21075968.,DMC Consultants,16152.00,09/16/2018,No,4,42.418019,-82.932686,"location
(42.418019, -82.932686)",Cornerstone Village
6165 Woodhall,21076012.,DMC Consultants,11316.00,09/16/2018,No,4,42.416378,-82.932332,"location
(42.416378, -82.932332)",Cornerstone Village
5125 Neff,21076302.,DMC Consultants,13338.00,09/16/2018,No,4,42.409308,-82.926368,"location
(42.409308, -82.926368)",Cornerstone Village
4235 Neff,21076361.,DMC Consultants,14191.00,09/16/2018,No,4,42.402033,-82.921611,"location
(42.402033, -82.921611)",Cornerstone Village
5914 Hereford,21077127.,DMC Consultants,12681.00,09/16/2018,No,4,42.415295,-82.927748,"location
(42.415295, -82.927748)",Cornerstone Village
5044 Lodewyck,21077789.,DMC Consultants,13671.00,09/16/2018,No,4,42.41028,-82.920563,"location
(42.41028, -82.920563)",Cornerstone Village
5037 Lodewyck,21077949.,DMC Consultants,14303.00,09/16/2018,No,4,42.409974,-82.921037,"location
(42.409974, -82.921037)",Cornerstone Village
4843 Lodewyck,21077956.,DMC Consultants,15262.00,09/16/2018,No,4,42.40832,-82.919936,"location
(42.40832, -82.919936)",Cornerstone Village
5220 Radnor,21078256.,DMC Consultants,12552.00,09/16/2018,No,4,42.412314,-82.919583,"location
(42.412314, -82.919583)",Cornerstone Village
5262 Radnor,21078261.,DMC Consultants,16075.00,09/16/2018,No,4,42.412805,-82.919913,"location
(42.412805, -82.919913)",Cornerstone Village
5318 Radnor,21078268.,Salenbien Trucking & Excavating Inc.,15467.50,08/06/2018,No,4,42.413493,-82.920374,"location
(42.413493, -82.920374)",Cornerstone Village
5574 Radnor,21078279.,DMC Consultants,12049.00,09/16/2018,No,4,42.414573,-82.921102,"location
(42.414573, -82.921102)",Cornerstone Village
19015 Mccormick,21080021.,DMC Consultants,15353.00,09/04/2018,No,4,42.433077,-82.946237,"location
(42.433077, -82.946237)",Moross-Morang
12082 Longacre,22070370.,Able Demolition,14439.34,08/23/2018,No,7,42.375668,-83.214242,"location
(42.375668, -83.214242)",Plymouth-I96
18620 Sawyer,22001060-1,Rickman Enterprise Group,15995.40,08/02/2018,No,7,42.347171,-83.222631,"location
(42.347171, -83.222631)",Warrendale
15845 Tireman,22001117-22,Rickman Enterprise Group,15046.40,09/26/2018,No,7,42.350583,-83.201127,"location
(42.350583, -83.201127)",Warren Ave Community
8111 Evergreen,22096997-8,Salenbien Trucking & Excavating Inc.,18038.00,10/17/2018,No,7,42.351999,-83.236097,"location
(42.351999, -83.236097)",Warrendale
19164 Langholm,17015818.,Rickman Enterprise Group,13161.10,09/26/2018,No,3,42.435302,-83.01092,"location
(42.435302, -83.01092)",Pulaski
18984 Blackmoor,17016136.,Rickman Enterprise Group,15936.10,09/26/2018,No,3,42.433634,-83.012761,"location
(42.433634, -83.012761)",Mount Olivet
19160 Blackmoor,17016141.,Rickman Enterprise Group,17221.10,09/26/2018,No,3,42.435193,-83.012981,"location
(42.435193, -83.012981)",Pulaski
6663 Edward,18001782.,Den-Man Contractors,25891.00,10/17/2018,No,6,42.328384,-83.124709,"location
(42.328384, -83.124709)",Michigan-Martin
6420 Morse,18002500.,Blue Star,25683.00,09/26/2018,No,6,42.33315,-83.124126,"location
(42.33315, -83.124126)",Claytown
621 Tennessee,21045892.,Salenbien Trucking & Excavating Inc.,11294.80,08/06/2018,No,4,42.36347,-82.956124,"location
(42.36347, -82.956124)",Jefferson Chalmers
428 Navahoe,21046551-8,Salenbien Trucking & Excavating Inc.,32396.80,08/06/2018,No,4,42.361127,-82.951811,"location
(42.361127, -82.951811)",Jefferson Chalmers
692 Navahoe,21046605.,Salenbien Trucking & Excavating Inc.,31519.80,08/06/2018,No,4,42.365303,-82.954569,"location
(42.365303, -82.954569)",Jefferson Chalmers
784 Algonquin,21046823.,Salenbien Trucking & Excavating Inc.,13910.80,08/06/2018,No,4,42.366893,-82.954434,"location
(42.366893, -82.954434)",Jefferson Chalmers
737 Algonquin,21047186.,Salenbien Trucking & Excavating Inc.,13048.80,08/06/2018,No,4,42.366078,-82.954567,"location
(42.366078, -82.954567)",Jefferson Chalmers
9408 Hartwell,22028454.,Den-Man Contractors,31230.00,10/17/2018,No,7,42.365236,-83.176149,"location
(42.365236, -83.176149)",Barton-McFarland
