Address,Parcel ID,Council_District,Commercial Building,Latitude,Longitude,Location,Neighborhood
8054 Brace,22080974.,7,No,42.351388,-83.223057,"location
(42.351388, -83.223057)",Warrendale
7788 Plainview,22093645.,7,No,42.349482,-83.234057,"location
(42.349482, -83.234057)",Warrendale
8426 Patton,22103625.,7,No,42.354283,-83.241556,"location
(42.354283, -83.241556)",Warrendale
6580 Mather,18013709.,6,No,42.341874,-83.146277,"location
(42.341874, -83.146277)",Claytown
16865 Winston,22124136.,1,No,42.412833,-83.284017,"location
(42.412833, -83.284017)",South of Six
8890 Penrod,22077641.,7,No,42.359202,-83.219805,"location
(42.359202, -83.219805)",Franklin Park
7716 Ashton,22074744.,7,No,42.348699,-83.217038,"location
(42.348699, -83.217038)",Warrendale
7740 Auburn,22092215.,7,No,42.348833,-83.232778,"location
(42.348833, -83.232778)",Warrendale
9528 Chalmers,21055511-12,4,No,42.409881,-82.967418,"location
(42.409881, -82.967418)",Outer Drive-Hayes
17550 Kentfield,22100321.,1,No,42.419958,-83.241057,"location
(42.419958, -83.241057)",Holcomb Community
8028 Greenview,22079646.,7,No,42.351009,-83.221933,"location
(42.351009, -83.221933)",Warrendale
16590 Bramell,22117707.,1,No,42.410808,-83.264323,"location
(42.410808, -83.264323)",Riverdale
8034 Greenview,22079647.,7,No,42.351122,-83.221953,"location
(42.351122, -83.221953)",Warrendale
8901 Penrod,22078085.,7,No,42.359297,-83.220471,"location
(42.359297, -83.220471)",Franklin Park
2328 Elmhurst,08003557.,5,No,42.386333,-83.111985,"location
(42.386333, -83.111985)",Dexter-Linwood
13103 La Salle Blvd,10008811.,5,No,42.392044,-83.118149,"location
(42.392044, -83.118149)",Dexter-Linwood
8268 Greenview,22079668.,7,No,42.353319,-83.222028,"location
(42.353319, -83.222028)",Warrendale
8276 Greenview,22079669-70,7,No,42.353442,-83.222032,"location
(42.353442, -83.222032)",Warrendale
8318 Greenview,22079675.,7,No,42.354008,-83.222051,"location
(42.354008, -83.222051)",Warrendale
8011 Dayton,20009814.,6,No,42.339374,-83.14725,"location
(42.339374, -83.14725)",Claytown
8505 Greenview,22080601.,7,No,42.355691,-83.222765,"location
(42.355691, -83.222765)",Warrendale
8601 Greenview,22080599.,7,No,42.356047,-83.222747,"location
(42.356047, -83.222747)",Warrendale
7774 Dayton,20009916.,6,No,42.340258,-83.146098,"location
(42.340258, -83.146098)",Claytown
18620 Tireman,22001768-9,7,No,42.350783,-83.222758,"location
(42.350783, -83.222758)",Warrendale
19424 Justine,13018835.,3,No,42.437564,-83.058714,"location
(42.437564, -83.058714)",Farwell
18670 Pelkey,21029918.,3,No,42.432355,-82.985885,"location
(42.432355, -82.985885)",Franklin
4600 Moran,13010180-1,5,No,42.366106,-83.029597,"location
(42.366106, -83.029597)",McDougall-Hunt
5654 Stanford,14011547.,6,No,42.346991,-83.113961,"location
(42.346991, -83.113961)",Midwest
17900 Strasburg,21034188.,3,No,42.426905,-82.997852,"location
(42.426905, -82.997852)",Von Steuben
4169 Moran,13010348.,5,No,42.363398,-83.028423,"location
(42.363398, -83.028423)",McDougall-Hunt
5686 Stanford,14011552.,6,No,42.347402,-83.11398,"location
(42.347402, -83.11398)",Midwest
7745 Radcliffe,20009936.,6,No,42.340767,-83.145833,"location
(42.340767, -83.145833)",Claytown
7757 Radcliffe,20009938.,6,No,42.340688,-83.146032,"location
(42.340688, -83.146032)",Claytown
7751 Radcliffe,20009937.,6,No,42.340728,-83.145931,"location
(42.340728, -83.145931)",Claytown
7390 Rosemont,22076144.,7,No,42.346125,-83.218143,"location
(42.346125, -83.218143)",Warrendale
7393 Rosemont,22077313.,7,No,42.346118,-83.218804,"location
(42.346118, -83.218804)",Warrendale
7939 Radcliffe,20009949.,6,No,42.340263,-83.14711,"location
(42.340263, -83.14711)",Claytown
14292 Wade,21006018.,4,No,42.407297,-82.967494,"location
(42.407297, -82.967494)",Outer Drive-Hayes
7634 Helen,15009006.,3,No,42.386207,-83.02977,"location
(42.386207, -83.02977)",Airport Sub
18025 Dresden,21034913.,3,No,42.427775,-82.999828,"location
(42.427775, -82.999828)",Von Steuben
7701 Rosemont,22077293.,7,No,42.348444,-83.218886,"location
(42.348444, -83.218886)",Warrendale
8400 Vaughan,22097401.,7,No,42.354042,-83.236689,"location
(42.354042, -83.236689)",Warrendale
12460 Waltham,21032522.,4,No,42.421158,-82.990704,"location
(42.421158, -82.990704)",Gratiot-Findlay
3886 French Rd,21040087.,4,No,42.37885,-82.986059,"location
(42.37885, -82.986059)",East Canfield
3868 French Rd,21040084.,4,No,42.37863,-82.985906,"location
(42.37863, -82.985906)",East Canfield
8100 Braile,22104964.006L,7,No,42.351755,-83.24269,"location
(42.351755, -83.24269)",Warrendale
12195 Waltham,21033006.,4,No,42.419884,-82.989827,"location
(42.419884, -82.989827)",Gratiot-Findlay
8103 Evergreen,22096999-7000,7,No,42.351875,-83.236091,"location
(42.351875, -83.236091)",Warrendale
3345 E Canfield,13002345.,5,No,42.364388,-83.030743,"location
(42.364388, -83.030743)",McDougall-Hunt
5821 Garland,21038053.,4,No,42.39093,-82.998833,"location
(42.39093, -82.998833)",West End
20701 Pickford,22106635.002L,1,No,42.424177,-83.246102,"location
(42.424177, -83.246102)",Holcomb Community
1974 Fullerton,08004139.,5,No,42.391658,-83.111671,"location
(42.391658, -83.111671)",Dexter-Linwood
1944 Waverly,08004442.,5,No,42.395556,-83.113729,"location
(42.395556, -83.113729)",Dexter-Linwood
1938 Waverly,08004443.,5,No,42.395593,-83.11363,"location
(42.395593, -83.11363)",Dexter-Linwood
14720 Liberal,21022747.,3,No,42.439835,-82.971272,"location
(42.439835, -82.971272)",Regent Park
19970 Bradford,21035113.,3,No,42.443366,-83.001018,"location
(42.443366, -83.001018)",Conner Creek
8450 Trinity,22108286.,7,No,42.354515,-83.246408,"location
(42.354515, -83.246408)",Warrendale
8456 Trinity,22108287.,7,No,42.354625,-83.246413,"location
(42.354625, -83.246413)",Warrendale
8474 Trinity,22108289.,7,No,42.354844,-83.246423,"location
(42.354844, -83.246423)",Warrendale
18075 Hickory,21030535.,3,No,42.428715,-82.987665,"location
(42.428715, -82.987665)",Franklin
8410 Burt Rd,22107308.,7,No,42.353994,-83.245171,"location
(42.353994, -83.245171)",Warrendale
1641 Clements,06003920.,2,No,42.397554,-83.112227,"location
(42.397554, -83.112227)",Oakman Blvd Community
19650 Chicago,22004125-6,7,No,42.364965,-83.234639,"location
(42.364965, -83.234639)",Franklin Park
7388 Stahelin,22082803.,7,No,42.346025,-83.22411,"location
(42.346025, -83.22411)",Warrendale
18711 Alcoy,21015791.,3,No,42.432708,-82.989054,"location
(42.432708, -82.989054)",Franklin
8285 Burt Rd,22108230.,7,No,42.353187,-83.245839,"location
(42.353187, -83.245839)",Warrendale
8255 Burt Rd,22108234.,7,No,42.352748,-83.245818,"location
(42.352748, -83.245818)",Warrendale
20210 Annott,21035526.,3,No,42.445581,-83.002318,"location
(42.445581, -83.002318)",Conner Creek
18622 Alcoy,21015633.001,3,No,42.431639,-82.988315,"location
(42.431639, -82.988315)",Franklin
8142 E Hollywood,17004763.,3,No,42.43237,-83.02145,"location
(42.43237, -83.02145)",Mount Olivet
18616 Alcoy,21015632.,3,No,42.431535,-82.988311,"location
(42.431535, -82.988311)",Franklin
18610 Alcoy,21015631.,3,No,42.431438,-82.988307,"location
(42.431438, -82.988307)",Franklin
18617 Alcoy,21015803.,3,No,42.431518,-82.989004,"location
(42.431518, -82.989004)",Franklin
8500 Minock,22090590.,7,No,42.355471,-83.231871,"location
(42.355471, -83.231871)",Warrendale
8469 Minock,22091505.,7,No,42.355027,-83.232557,"location
(42.355027, -83.232557)",Warrendale
8215 Grandville,22088947.,7,No,42.352465,-83.230028,"location
(42.352465, -83.230028)",Warrendale
18679 Pelkey,21030152.,3,No,42.432436,-82.986579,"location
(42.432436, -82.986579)",Franklin
8453 Minock,22091507.,7,No,42.354797,-83.232549,"location
(42.354797, -83.232549)",Warrendale
18623 Pelkey,21030160.,3,No,42.431671,-82.986551,"location
(42.431671, -82.986551)",Franklin
8049 Burt Rd,22108249.,7,No,42.350943,-83.245735,"location
(42.350943, -83.245735)",Warrendale
18431 Pelkey,21030175.,3,No,42.429949,-82.986478,"location
(42.429949, -82.986478)",Franklin
8096 Minock,22090556.,7,No,42.351849,-83.231724,"location
(42.351849, -83.231724)",Warrendale
8102 Trinity,22108263.,7,No,42.351689,-83.24628,"location
(42.351689, -83.24628)",Warrendale
7442 Clayburn,22068384.,7,No,42.346496,-83.211352,"location
(42.346496, -83.211352)",Warren Ave Community
8294 Trinity,22108276.,7,No,42.353275,-83.246353,"location
(42.353275, -83.246353)",Warrendale
7237 Warwick,22086723.,7,No,42.34388,-83.227203,"location
(42.34388, -83.227203)",Warrendale
7229 Warwick,22086724.,7,No,42.343762,-83.227198,"location
(42.343762, -83.227198)",Warrendale
8320 Faust,22078484.,7,No,42.354139,-83.220824,"location
(42.354139, -83.220824)",Warrendale
17166 Fenton,22123654.,1,No,42.415383,-83.282044,"location
(42.415383, -83.282044)",The Eye
3683 Zender,13001744.,5,No,42.362514,-83.023774,"location
(42.362514, -83.023774)",McDougall-Hunt
3309 Superior,13002109.,5,No,42.362552,-83.03029,"location
(42.362552, -83.03029)",McDougall-Hunt
8148 E Robinwood,17004681.,3,No,42.431638,-83.02129,"location
(42.431638, -83.02129)",Mount Olivet
2718 Doris,12005247.,2,No,42.398004,-83.127985,"location
(42.398004, -83.127985)",Oakman Blvd Community
3347 Leland,13001988.,5,No,42.361396,-83.028754,"location
(42.361396, -83.028754)",McDougall-Hunt
1707 Tyler,06003766.,5,No,42.394914,-83.111789,"location
(42.394914, -83.111789)",Dexter-Linwood
5388 Belvidere,19007638.,5,No,42.384134,-83.003609,"location
(42.384134, -83.003609)",Gratiot Woods
1051 Liebold,20013709.,6,No,42.281568,-83.146976,"location
(42.281568, -83.146976)",Boynton
11843 E State Fair,21024194-5,3,No,42.441986,-83.002862,"location
(42.441986, -83.002862)",Conner Creek
9059 Stout,22102037-8,7,No,42.360142,-83.239973,"location
(42.360142, -83.239973)",Franklin Park
18687 Hickory,21030496.,3,No,42.432509,-82.987814,"location
(42.432509, -82.987814)",Franklin
18650 Hickory,21030253.,3,No,42.432049,-82.987101,"location
(42.432049, -82.987101)",Franklin
18628 Hickory,21030250.,3,No,42.431757,-82.987089,"location
(42.431757, -82.987089)",Franklin
18624 Hickory,21030249.,3,No,42.431653,-82.987085,"location
(42.431653, -82.987085)",Franklin
18611 Hickory,21030510.,3,No,42.431453,-82.987773,"location
(42.431453, -82.987773)",Franklin
18600 Hickory,21030247.,3,No,42.4314,-82.987075,"location
(42.4314, -82.987075)",Franklin
18517 Hickory,21030512.,3,No,42.431105,-82.987756,"location
(42.431105, -82.987756)",Franklin
9203 Stout,22102028.,7,No,42.361149,-83.239982,"location
(42.361149, -83.239982)",Franklin Park
8410 Trinity,22108281.,7,No,42.353966,-83.246382,"location
(42.353966, -83.246382)",Warrendale
9110 Harrell,21036833.,4,No,42.400787,-82.983787,"location
(42.400787, -82.983787)",Ravendale
8444 Trinity,22108285.,7,No,42.354405,-83.246403,"location
(42.354405, -83.246403)",Warrendale
18430 Hickory,21030234.,3,No,42.42994,-82.987016,"location
(42.42994, -82.987016)",Franklin
8491 Westwood,22090178.,7,No,42.355348,-83.231333,"location
(42.355348, -83.231333)",Warrendale
19925 Annott,21035582.,3,No,42.442327,-83.002884,"location
(42.442327, -83.002884)",Conner Creek
9224 Stout,22101022-3,7,No,42.361672,-83.239273,"location
(42.361672, -83.239273)",Franklin Park
19394 Stotter,15005687.,3,No,42.437378,-83.025126,"location
(42.437378, -83.025126)",Nortown
7356 Piedmont,22086923.,7,No,42.345543,-83.227821,"location
(42.345543, -83.227821)",Warrendale
2747 Pasadena,10004396.,2,No,42.394187,-83.126,"location
(42.394187, -83.126)",Oakman Blvd Community
14291 Corbett,21007087.,4,No,42.409216,-82.968696,"location
(42.409216, -82.968696)",Outer Drive-Hayes
4328 Parkinson,18011572.,6,No,42.329218,-83.130095,"location
(42.329218, -83.130095)",Claytown
8315 Rosemont,22077244.,7,No,42.354034,-83.219106,"location
(42.354034, -83.219106)",Warrendale
3544 Fremont,13002240.,5,No,42.364416,-83.027734,"location
(42.364416, -83.027734)",McDougall-Hunt
8116 E Mcnichols,17004220.,3,No,42.419251,-83.02138,"location
(42.419251, -83.02138)",Airport Sub
7745 Archdale,22072156.,7,No,42.348783,-83.215301,"location
(42.348783, -83.215301)",Warren Ave Community
7746 Archdale,22070945.,7,No,42.348787,-83.214679,"location
(42.348787, -83.214679)",Warren Ave Community
7669 Brace,22081236.,7,No,42.347997,-83.223644,"location
(42.347997, -83.223644)",Warrendale
7647 Brace,22081239.,7,No,42.347685,-83.223634,"location
(42.347685, -83.223634)",Warrendale
8051 Rosemont,22077268.,7,No,42.351369,-83.218987,"location
(42.351369, -83.218987)",Warrendale
1932 Elmhurst,08003590.,5,No,42.387762,-83.108128,"location
(42.387762, -83.108128)",Dexter-Linwood
1938 Elmhurst,08003589.,5,No,42.387725,-83.108228,"location
(42.387725, -83.108228)",Dexter-Linwood
9961 Longacre,22070734.,7,No,42.368453,-83.214679,"location
(42.368453, -83.214679)",Joy Community
7347 Brace,22081254.,7,No,42.345459,-83.223551,"location
(42.345459, -83.223551)",Warrendale
7319 Brace,22081258.,7,No,42.345075,-83.223537,"location
(42.345075, -83.223537)",Warrendale
7805 Penrod,22078160.,7,No,42.349867,-83.220161,"location
(42.349867, -83.220161)",Warrendale
2262 Elmhurst,08003568.,5,No,42.386739,-83.110883,"location
(42.386739, -83.110883)",Dexter-Linwood
8234 Penrod,22077592.,7,No,42.352938,-83.219571,"location
(42.352938, -83.219571)",Warrendale
3526 25th St,12009238.,6,No,42.3351,-83.095234,"location
(42.3351, -83.095234)",Chadsey Condon
8251 Penrod,22078133.,7,No,42.353124,-83.220273,"location
(42.353124, -83.220273)",Warrendale
2292 Elmhurst,08003563.,5,No,42.386556,-83.11138,"location
(42.386556, -83.11138)",Dexter-Linwood
8115 Artesian,22085455.,7,No,42.35215,-83.226353,"location
(42.35215, -83.226353)",Warrendale
2346 Elmhurst,08003554.,5,No,42.386223,-83.112284,"location
(42.386223, -83.112284)",Dexter-Linwood
2350 Elmhurst,08003553.,5,No,42.386181,-83.1124,"location
(42.386181, -83.1124)",Dexter-Linwood
19757 Runyon,17014686.,3,No,42.440886,-83.007303,"location
(42.440886, -83.007303)",Pulaski
19716 Albion,17014299.,3,No,42.44039,-83.005665,"location
(42.44039, -83.005665)",Pulaski
8515 Stahelin,22083900.,7,No,42.355761,-83.225203,"location
(42.355761, -83.225203)",Warrendale
7768 Auburn,22092219.,7,No,42.349217,-83.232791,"location
(42.349217, -83.232791)",Warrendale
8495 Penrod,22078110.,7,No,42.355641,-83.220342,"location
(42.355641, -83.220342)",Warrendale
8481 Penrod,22078112.,7,No,42.355449,-83.220336,"location
(42.355449, -83.220336)",Warrendale
8437 Stahelin,22083911.,7,No,42.354702,-83.225166,"location
(42.354702, -83.225166)",Warrendale
2640 Clements,10004277.,2,No,42.393763,-83.123511,"location
(42.393763, -83.123511)",Oakman Blvd Community
7240 Greenview,22079589.,7,No,42.344036,-83.221694,"location
(42.344036, -83.221694)",Warrendale
2690 Clements,10004270.,2,No,42.393458,-83.124345,"location
(42.393458, -83.124345)",Oakman Blvd Community
8058 Faust,22078460.,7,No,42.351454,-83.22075,"location
(42.351454, -83.22075)",Warrendale
6873 Edgeton,15003670-5,3,No,42.422859,-83.030306,"location
(42.422859, -83.030306)",Grant
6850 Edgeton,15003622-3,3,No,42.422428,-83.030777,"location
(42.422428, -83.030777)",Grant
3374 E Hancock,13002600.,5,No,42.367226,-83.032033,"location
(42.367226, -83.032033)",McDougall-Hunt
20200 Fleming,13024716-7,3,No,42.444012,-83.078526,"location
(42.444012, -83.078526)",Butler
20192 Fleming,13024714-5,3,No,42.443868,-83.078517,"location
(42.443868, -83.078517)",Butler
7740 Greenview,22079632.,7,No,42.348969,-83.221867,"location
(42.348969, -83.221867)",Warrendale
2634 Tuxedo,10003268.,5,No,42.383625,-83.11646,"location
(42.383625, -83.11646)",Dexter-Linwood
13651 Mapleridge,21017532.,3,No,42.429115,-82.983799,"location
(42.429115, -82.983799)",Franklin
12745 Joann,21030925.,4,No,42.424302,-82.988045,"location
(42.424302, -82.988045)",Gratiot-Findlay
1574 Highland,06003479.,5,No,42.392333,-83.106796,"location
(42.392333, -83.106796)",Dexter-Linwood
2245 W Euclid,10001653-4,5,No,42.368807,-83.099856,"location
(42.368807, -83.099856)",LaSalle Gardens
9611 Prairie,16023481.,6,No,42.368132,-83.143818,"location
(42.368132, -83.143818)",Midwest
19332 Runyon,17014634.,3,No,42.436942,-83.006598,"location
(42.436942, -83.006598)",Pulaski
13700 Park Grove,21017824.,3,No,42.42951,-82.982924,"location
(42.42951, -82.982924)",Franklin
13446 Longview,21007493.,4,No,42.409913,-82.97136,"location
(42.409913, -82.97136)",Outer Drive-Hayes
2233 Monterey,08003614.,5,No,42.387243,-83.110588,"location
(42.387243, -83.110588)",Dexter-Linwood
2221 Monterey,08003612.,5,No,42.387317,-83.110389,"location
(42.387317, -83.110389)",Dexter-Linwood
19132 Eureka,13018345.,3,No,42.433793,-83.057509,"location
(42.433793, -83.057509)",Farwell
19149 Eureka,13018608-9,3,No,42.434002,-83.05807,"location
(42.434002, -83.05807)",Farwell
7326 Artesian,22084225.,7,No,42.345154,-83.225321,"location
(42.345154, -83.225321)",Warrendale
19220 Eureka,13018359.,3,No,42.434972,-83.057572,"location
(42.434972, -83.057572)",Farwell
2014 Monterey,08003672.,5,No,42.387922,-83.109984,"location
(42.387922, -83.109984)",Dexter-Linwood
2000 Monterey,08003675.,5,No,42.388023,-83.109712,"location
(42.388023, -83.109712)",Dexter-Linwood
2531 Glynn Ct,10002869.,5,No,42.37878,-83.111538,"location
(42.37878, -83.111538)",Dexter-Linwood
3602 Ludden,13001547.,5,No,42.359681,-83.02354,"location
(42.359681, -83.02354)",McDougall-Hunt
20012 Goddard,13024597.,3,No,42.44197,-83.077166,"location
(42.44197, -83.077166)",Butler
1969 Monterey,08003599.,5,No,42.387856,-83.108932,"location
(42.387856, -83.108932)",Dexter-Linwood
19989 Goddard,13024666.,3,No,42.44161,-83.077864,"location
(42.44161, -83.077864)",Butler
6951 Parkwood,18002051.,6,No,42.328318,-83.12882,"location
(42.328318, -83.12882)",Claytown
6815 Drake,15003468.,3,No,42.421241,-83.031337,"location
(42.421241, -83.031337)",Grant
19935 Goddard,13024675-7,3,No,42.440849,-83.077816,"location
(42.440849, -83.077816)",Butler
6840 Covert,15003382.,3,No,42.419978,-83.030755,"location
(42.419978, -83.030755)",Grant
9023 Pierson,22107209.,7,No,42.359545,-83.244841,"location
(42.359545, -83.244841)",Franklin Park
9041 Pierson,22107206.,7,No,42.359792,-83.244853,"location
(42.359792, -83.244853)",Franklin Park
7297 Brace,22081261.,7,No,42.344787,-83.223526,"location
(42.344787, -83.223526)",Warrendale
19626 Eureka,13018399.,3,No,42.438608,-83.057775,"location
(42.438608, -83.057775)",Farwell
1694 Richton,06003352.,5,No,42.3899,-83.10807,"location
(42.3899, -83.10807)",Dexter-Linwood
13669 Glenwood,21018171.,3,No,42.430764,-82.983566,"location
(42.430764, -82.983566)",Franklin
13691 Glenwood,21018174.,3,No,42.430776,-82.983122,"location
(42.430776, -82.983122)",Franklin
13703 Glenwood,21018175.,3,No,42.43078,-82.982974,"location
(42.43078, -82.982974)",Franklin
9554 Grandmont,22064708.,7,No,42.366067,-83.209053,"location
(42.366067, -83.209053)",Joy Community
18952 Alcoy,21015634.006,3,No,42.433792,-82.988409,"location
(42.433792, -82.988409)",Franklin
19361 Hasse,13018144.,3,No,42.436702,-83.057227,"location
(42.436702, -83.057227)",Farwell
19345 Hasse,13018146.,3,No,42.436496,-83.057215,"location
(42.436496, -83.057215)",Farwell
19342 Hasse,13018021-8,3,No,42.436462,-83.056661,"location
(42.436462, -83.056661)",Farwell
19339 Hasse,13018147.,3,No,42.436414,-83.05721,"location
(42.436414, -83.05721)",Farwell
19329 Hasse,13018148.,3,No,42.436332,-83.057206,"location
(42.436332, -83.057206)",Farwell
8782 Olivet,20002126.,6,No,42.299614,-83.127816,"location
(42.299614, -83.127816)",Springwells
19251 Hasse,13018157-8,3,No,42.43542,-83.057156,"location
(42.43542, -83.057156)",Farwell
10428 Sterritt,19002062.,3,No,42.395079,-83.000398,"location
(42.395079, -83.000398)",Airport Sub
13826 Linnhurst,21018473.,3,No,42.431178,-82.981932,"location
(42.431178, -82.981932)",Franklin
13803 Linnhurst,21018507.,3,No,42.431652,-82.98239,"location
(42.431652, -82.98239)",Franklin
13802 Linnhurst,21018476.,3,No,42.431165,-82.982366,"location
(42.431165, -82.982366)",Franklin
20050 Anglin,13024289-90,3,No,42.442475,-83.074762,"location
(42.442475, -83.074762)",Butler
9992 Woodmont,22062555.,7,No,42.369028,-83.207947,"location
(42.369028, -83.207947)",Joy Community
19146 Healy,13017665-6,3,No,42.434027,-83.055545,"location
(42.434027, -83.055545)",Farwell
19156 Healy,13017667.,3,No,42.43415,-83.055552,"location
(42.43415, -83.055552)",Farwell
9593 Auburn,22092790.,7,No,42.366122,-83.234016,"location
(42.366122, -83.234016)",Franklin Park
19967 Anglin,13024370.,3,No,42.441336,-83.075401,"location
(42.441336, -83.075401)",Butler
19222 Healy,13017678-9,3,No,42.435117,-83.055607,"location
(42.435117, -83.055607)",Farwell
19225 Healy,13017799.,3,No,42.43507,-83.056155,"location
(42.43507, -83.056155)",Farwell
11324 Woodmont,22062568.,7,No,42.370442,-83.207987,"location
(42.370442, -83.207987)",Joy Community
19928 Mackay,13024451.,3,No,42.440836,-83.075886,"location
(42.440836, -83.075886)",Butler
2044 Seward,08001939.,5,No,42.368265,-83.097266,"location
(42.368265, -83.097266)",LaSalle Gardens
13800 Tacoma,21023667.,3,No,42.441233,-82.982748,"location
(42.441233, -82.982748)",Franklin
19385 Healy,13017776.,3,No,42.437078,-83.056267,"location
(42.437078, -83.056267)",Farwell
13661 Saratoga,21019132.,3,No,42.43249,-82.983764,"location
(42.43249, -82.983764)",Franklin
7414 Plainview,22093620.,7,No,42.34624,-83.23392,"location
(42.34624, -83.23392)",Warrendale
13803 Saratoga,21019141.,3,No,42.432532,-82.982423,"location
(42.432532, -82.982423)",Franklin
16207 Strathmoor,22038307.,1,No,42.410645,-83.188494,"location
(42.410645, -83.188494)",Hubbell-Puritan
16146 Strathmoor,22037909.,1,No,42.40986,-83.187773,"location
(42.40986, -83.187773)",Hubbell-Puritan
13000 Conner,17016224.,4,No,42.417579,-83.011068,"location
(42.417579, -83.011068)",LaSalle College Park
2039 St Anne,10008041.,6,No,42.327037,-83.081043,"location
(42.327037, -83.081043)",Central Southwest
11301 Rutherford,22056687.,7,No,42.370232,-83.202586,"location
(42.370232, -83.202586)",Joy Community
16222 Wormer,22123060.,1,No,42.409085,-83.279048,"location
(42.409085, -83.279048)",South of Six
2448 Blaine,10002018.,5,No,42.370778,-83.104354,"location
(42.370778, -83.104354)",North LaSalle
